lsoa11cd,pop_adjusted_beds
E01001221,0.113623661
E01001222,0.262828147
E01001223,0.149076801
E01001224,0.144807501
E01001225,0.145497846
E01001226,0.14756521
E01001227,0.161342283
E01001228,0.163309596
E01001229,0.164222918
E01001230,0.223804682
E01001231,0.112286803
E01001232,0.158826224
E01001233,0.173732863
E01001234,0.232181482
E01001235,0.219411866
E01001236,0.183547773
E01001237,0.163349331
E01001238,0.216265213
E01001239,0.250983959
E01001240,0.1783568
E01001241,0.191511257
E01001242,0.186679635
E01001243,0.187254902
E01001244,0.147196062
E01001245,0.2463602
E01001246,0.221030873
E01001247,0.135666973
E01001248,0.140923851
E01001249,0.179123599
E01001250,0.185443284
E01001251,0.195102376
E01001252,0.169363479
E01001253,0.18766646
E01001254,0.15977751
E01001255,0.184203215
E01001257,0.202146909
E01001258,0.140418426
E01001259,0.170591821
E01001260,0.134600354
E01001261,0.134058905
E01001262,0.128749486
E01001263,0.145413412
E01001264,0.135029343
E01001265,0.200672146
E01001266,0.116830496
E01001267,0.102095985
E01001268,0.12771388
E01001269,0.132017197
E01001270,0.160606422
E01001271,0.164970014
E01001272,0.173580382
E01001273,0.142734619
E01001274,0.186059625
E01001275,0.164788897
E01001276,0.17031618
E01001277,0.137834909
E01001278,0.13493735
E01001279,0.109045965
E01001280,0.15599886
E01001281,0.11858418
